Facility_ID,FacilityName,StreetNo,StreetName,StreetType,SuburbTown,Postcode,Latitude,Longitude,FaciltySportPlayedID,SportsPlayed,FacilityAge,FacilityCondition,FacilityUpgradeAge,LGA
WYNDHA8530,Werribee Sports & Fitness Centre,,Ballan,Road,Werribee,3030.0,-37.898601,144.64031599999998,26686,Netball,,4. Good,,Wyndham
WYNDHA11288,Hoppers Indoor Sportz,,Graham,Court,Hoppers Crossing,3029.0,-37.872,144.7275,26982,Netball (Indoor),,,,Wyndham
WYNDHA8521,Riverside Indoor Sports,13,Riverside,Avenue,Werribee,3030.0,-37.913492,144.659074,26667,Netball (Indoor),,,,Wyndham
WYNDHA5496,Clearwood Drive Reserve,,Clearwood,Drive,Truganina,3029.0,-37.840037,144.71783,27809,Rugby,0 - 5 Years,,New facility under construction,Wyndham
WYNDHA11000,Haines Drive Reserve,,Haines,Road,Wyndham Vale,3024.0,-37.897069,144.609389,27810,Rugby,0 - 5 Years,5. Very Good,,Wyndham
WYNDHA11000,Haines Drive Reserve,,Haines,Road,Wyndham Vale,3024.0,-37.897069,144.609389,26571,Rugby,0 - 5 Years,5. Very Good,,Wyndham
WYNDHA8514,Mossfiel Reserve,,Heaths,Road,Hoppers Crossing,3029.0,-37.877437,144.692478,26647,Rugby,26 - 50 Years,3. Average,,Wyndham
WYNDHA8492,Boardwalk Skate Park,,Boardwalk,Boulevard,Point Cook,3030.0,-37.880556,144.73533600000002,26594,Skating,0 - 5 Years,3. Average,,Wyndham
WYNDHA8512,Little River Reserve,,You Yangs,Road,Little River,3211.0,-37.961417,144.497406,26640,Skating,,,,Wyndham
WYNDHA8514,Mossfiel Reserve,,Heaths,Road,Hoppers Crossing,3029.0,-37.877437,144.692478,26648,Skating,11 - 25 Years,4. Good,< 1 Years,Wyndham
WYNDHA8518,Presidents Park,,McGraths,Road,Werribee,3030.0,-37.881809999999994,144.634572,26658,Skating,6 - 10 Years,3. Average,,Wyndham
WYNDHA10998,Forsyth Road Reserve,,Forsyth,Road,Truganina,3029.0,-37.860803999999995,144.729419,26567,Soccer,0 - 5 Years,5. Very Good,,Wyndham
WYNDHA10998,Forsyth Road Reserve,,Forsyth,Road,Truganina,3029.0,-37.860803999999995,144.729419,26566,Soccer,0 - 5 Years,5. Very Good,,Wyndham
WYNDHA8502,Galvin Park,,Shaws,Road,Werribee,3030.0,-37.88706,144.650409,26619,Soccer,11 - 25 Years,4. Good,Upgrade in progress,Wyndham
WYNDHA8505,Grange Reserve Soccer Complex,,Hogans,Road,Hoppers Crossing,3029.0,-37.860884999999996,144.676572,26622,Soccer,0 - 5 Years,5. Very Good,,Wyndham
WYNDHA8505,Grange Reserve Soccer Complex,,Hogans,Road,Hoppers Crossing,3029.0,-37.860884999999996,144.676572,26623,Soccer,6 - 10 Years,5. Very Good,6 - 10 Years,Wyndham
